"Genome"	"original_bin"	"classification"	"fastani_reference"	"fastani_reference_radius"	"fastani_taxonomy"	"fastani_ani"	"fastani_af"	"closest_placement_reference"	"closest_placement_radius"	"closest_placement_taxonomy"	"closest_placement_ani"	"closest_placement_af"	"pplacer_taxonomy"	"classification_method"	"note"	"other_related_references.genome_id.species_name.radius.ANI.AF."	"msa_percent"	"translation_table"	"red_value"	"warnings"	"completeness"	"contamination"	"length"	"N50"	"centrality"
"MGYG000001234"	"SRR1761692_bin.6"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae"	"GCF_010509575.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae"	"97.56"	"0.9"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.86	0.2	2378758	64227	0.971311333333333
"MGYG000001235"	"SRR1761693_bin.1"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp000431795"	"GCA_000431795.1"	"95.0"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp000431795"	"97.51"	"0.877"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	92.49	0.3	1241768	13484	0.970354666666667
"MGYG000001236"	"SRR1761693_bin.14"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp000435995"	"GCA_900545515.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp000435995"	"99.71"	"0.927"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	94.4	2.06	2678646	15204	0.978661
"MGYG000001237"	"SRR1761693_bin.23"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp900539195"	"GCA_900539195.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp900539195"	"97.81"	"0.923"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.83	0.81	2384048	22815	0.955834
"MGYG000001238"	"SRR1761693_bin.5"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995"	"GCA_000434995.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000434995"	"98.59"	"0.938"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.09	0.1	2055837	81963	0.9766175
"MGYG000001239"	"SRR1761693_bin.7"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis"	"GCA_025147485.1"	"95.0"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis"	"98.38"	"0.808"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.87	0.13	4418119	143003	0.981953958333333
"MGYG000001240"	"SRR1761695_bin.12"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900541955"	"GCF_013304445.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900541955"	"99.56"	"0.913"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.83	2.52	2823564	20950	0
"MGYG000001241"	"SRR1761695_bin.13"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia gallistercoris"	"GCA_900546915.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia gallistercoris"	"99.39"	"0.94"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	100	1.56	2532439	70580	0.989606
"MGYG000001242"	"SRR1761695_bin.16"	"d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium"	"GCF_003269275.1"	"95.0"	"d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium"	"99.05"	"0.949"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"GCA_900551745.1, s__Phascolarctobacterium sp900551745, 95.0, 95.21, 0.581"	"N/A"	"N/A"	"N/A"	"N/A"	73.73	1.53	1706950	2998	0.958474
"MGYG000001243"	"SRR1761695_bin.19"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus"	"GCF_000332875.2"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus"	"98.37"	"0.856"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"GCA_019423795.1, s__Anaerostipes sp019423795, 95.0, 95.35, 0.758"	"N/A"	"N/A"	"N/A"	"N/A"	97.58	0.67	2438052	36077	0.973054073170732
"MGYG000001244"	"SRR1761695_bin.25"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus faecipullorum"	"GCA_900547455.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus faecipullorum"	"97.88"	"0.976"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	66.19	1.02	1439936	2017	0
"MGYG000001245"	"SRR1761695_bin.6"	"d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum"	"GCF_001025135.1"	"95.0"	"d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum"	"98.72"	"0.881"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.94	1.73	2280452	90212	0.986748181818182
"MGYG000001246"	"SRR1761695_bin.8"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter stercoravium"	"GCA_900543555.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter stercoravium"	"99.97"	"0.944"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.52	0.15	2353472	58171	0.9784525
"MGYG000001247"	"SRR1761696_bin.2"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp000434635"	"GCA_000434635.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp000434635"	"97.36"	"0.856"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	91.24	1.66	2176044	21584	0.9778095
"MGYG000001248"	"SRR1761696_bin.20"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Scatomorpha;s__Scatomorpha intestinigallinarum"	"GCA_900544295.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Scatomorpha;s__Scatomorpha intestinigallinarum"	"98.88"	"0.904"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	83.2	2.17	2221826	17452	0
"MGYG000001249"	"SRR1761696_bin.22"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens"	"GCF_000210075.1"	"95.0"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens"	"98.54"	"0.78"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	74.94	4.06	4123576	4170	0
"MGYG000001250"	"SRR1761696_bin.24"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp934162325"	"GCA_934162325.1"	"95.0"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp934162325"	"96.28"	"0.849"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"GCA_001916775.1, s__CAG-302 sp001916775, 95.0, 95.35, 0.796"	"N/A"	"N/A"	"N/A"	"N/A"	93.33	1.21	1324335	102972	0.9725246
"MGYG000001251"	"SRR1761696_bin.26"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900757655"	"GCA_900757655.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900757655"	"95.36"	"0.884"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"GCA_900317855.1, s__CAG-103 sp900317855, 95.0, 95.34, 0.904"	"N/A"	"N/A"	"N/A"	"N/A"	84	4.92	1658433	9683	0.9498355
"MGYG000001252"	"SRR1761696_bin.4"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp000431335"	"GCA_000431335.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp000431335"	"98.79"	"0.881"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	97.48	2.21	1420516	65470	0.9753595
"MGYG000001253"	"SRR1761697_bin.15"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp000438355"	"GCA_000438355.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp000438355"	"99.25"	"0.907"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	93.73	4.41	1474646	41880	0
"MGYG000001254"	"SRR1761697_bin.18"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp000435195"	"GCA_000435195.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp000435195"	"98.93"	"0.901"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	100	0.01	2125237	61658	0.984464
"MGYG000001255"	"SRR1761697_bin.23"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris"	"GCA_025147325.1"	"95.0"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris"	"97.66"	"0.864"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	89.2	0.14	3293404	70084	0.9785839
"MGYG000001256"	"SRR1761698_bin.14"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter sp934309345"	"GCA_934309345.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter sp934309345"	"95.77"	"0.803"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"GCA_001312505.1, s__Mediterraneibacter faecis, 95.0, 95.23, 0.781"	"N/A"	"N/A"	"N/A"	"N/A"	67.95	1.83	1591852	3722	0.960407
"MGYG000001257"	"SRR1761698_bin.21"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp900554415"	"GCA_900554415.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp900554415"	"99.93"	"0.899"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	90.05	1.59	2947446	55104	0
"MGYG000001258"	"SRR1761698_bin.3"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900552515"	"GCF_021531355.1"	"95.0"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900552515"	"96.41"	"0.78"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	80.24	1.2	2562428	19909	0.965889666666667
"MGYG000001259"	"SRR1761698_bin.5"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1663;s__UMGS1663 sp900553405"	"GCA_900553405.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1663;s__UMGS1663 sp900553405"	"99.92"	"0.939"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"GCA_934133165.1, s__UMGS1663 sp934133165, 95.0, 95.24, 0.832"	"N/A"	"N/A"	"N/A"	"N/A"	85.3	2.93	1229893	24294	0
"MGYG000001260"	"SRR1761698_bin.6"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp003537285"	"GCA_003458705.1"	"95.4867"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp003537285"	"96.09"	"0.847"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.99	0.34	2900752	107567	0.9739815
"MGYG000001261"	"SRR1761699_bin.13"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1279;s__UMGS1279 sp900550315"	"GCA_900550315.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1279;s__UMGS1279 sp900550315"	"97.07"	"0.813"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	81.07	3.85	1622935	2620	0
"MGYG000001262"	"SRR1761699_bin.14"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-628;s__CAG-628 sp934085635"	"GCA_934085635.1"	"95.0"	"d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-628;s__CAG-628 sp934085635"	"97.38"	"0.851"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	82.09	0.36	1060257	32446	0.969084
"MGYG000001263"	"SRR1761699_bin.15"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900540635"	"GCA_900540635.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900540635"	"97.17"	"0.855"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	77.32	1.86	2105463	14940	0.972904666666667
"MGYG000001264"	"SRR1761699_bin.23"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-465;g__UMGS1649;s__UMGS1649 sp900553785"	"GCA_900553785.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-465;g__UMGS1649;s__UMGS1649 sp900553785"	"99.94"	"0.909"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	82.12	0.56	1045857	43649	0
"MGYG000001265"	"SRR1761699_bin.26"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp900540625"	"GCA_900540625.1"	"95.0"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp900540625"	"99.77"	"0.945"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.95	0.01	2507365	45670	0.9870365
"MGYG000001266"	"SRR1761699_bin.28"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900556935"	"GCA_900556935.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900556935"	"99.46"	"0.867"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	69.99	0.74	1975452	8818	0.992838
"MGYG000001267"	"SRR1761699_bin.3"	"d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111 sp004558955"	"GCA_004558955.1"	"95.0"	"d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111 sp004558955"	"98.55"	"0.767"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.66	0.1	1926212	45873	0.9836
"MGYG000001268"	"SRR1761699_bin.30"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp004556705"	"GCA_004556705.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp004556705"	"96.19"	"0.832"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	100	0.16	1793278	45173	0.958566304347826
"MGYG000001269"	"SRR1761699_bin.7"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900546415"	"GCA_900546415.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900546415"	"98.08"	"0.864"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	99.53	0.47	1811374	16472	0.974500666666667
"MGYG000001270"	"SRR1761700_bin.13"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A"	"GCF_001404675.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A"	"95.74"	"0.837"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	100	0.45	3051841	127085	0.960916625
"MGYG000001271"	"SRR1761700_bin.15"	"d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens_A"	"GCA_000434895.1"	"95.0"	"d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens_A"	"95.52"	"0.846"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"GCF_000188175.1, s__Phascolarctobacterium_A succinatutens, 95.0, 95.13, 0.839"	"N/A"	"N/A"	"N/A"	"N/A"	83.73	2.86	1634389	2292	0
"MGYG000001272"	"SRR1761700_bin.16"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900544945"	"GCA_900544945.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900544945"	"96.39"	"0.811"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	87.2	1.39	2113712	11309	0.9626235
"MGYG000001273"	"SRR1761701_bin.1"	"d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900556495"	"GCF_902501965.1"	"95.0"	"d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900556495"	"98.07"	"0.832"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	71.24	1.9	1546699	38433	0
"MGYG000001274"	"SRR1761701_bin.10"	"d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp900540735"	"GCA_900540735.1"	"95.0"	"d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp900540735"	"99.97"	"0.96"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	92.95	0.24	2435343	59162	0
"MGYG000001275"	"SRR1761701_bin.12"	"d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense_A"	"GCF_000800455.1"	"95.1942"	"d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense_A"	"96.17"	"0.838"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	94.94	2.79	2134383	67533	0
"MGYG000001276"	"SRR1761701_bin.16"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002265625"	"GCF_002265625.1"	"95.0"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002265625"	"96.99"	"0.887"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	94.29	0.67	3062722	27133	0.962966677419355
"MGYG000001277"	"SRR1761701_bin.17"	"d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parolsenella;s__Parolsenella sp900549525"	"GCA_900549525.1"	"95.0"	"d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parolsenella;s__Parolsenella sp900549525"	"99.63"	"0.857"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	75.72	0.7	1685481	16683	0
